city,state,latitude,longitude,population,area,density,time_zone
Aaronsburg,PA,40.8956,-77.3924,1030,23.9569,42.99,America/New_York
Abbeville,AL,31.6030,-85.2163,6055,191.6269,31.60,America/Chicago
Abbeville,GA,31.9755,-83.3407,4563,166.2060,27.45,America/New_York
Abbeville,LA,29.8981,-92.1997,25897,235.8227,109.82,America/Chicago
Abbeville,MS,34.4820,-89.4397,2221,90.2666,24.60,America/Chicago
Abbeville,SC,34.1788,-82.4287,13006,252.3438,51.54,America/New_York
Abbot,ME,45.2345,-69.5699,624,68.8365,9.06,America/New_York
Abbotsford,WI,44.9614,-90.2874,3006,29.6834,101.27,America/Chicago
Abbott,TX,31.8830,-97.0859,870,61.0743,14.24,America/Chicago
Abbottstown,PA,39.8906,-76.9803,4315,13.9768,308.73,America/New_York
Abbyville,KS,37.9997,-98.2067,292,56.3709,5.18,America/Chicago
Abell,MD,38.2595,-76.7370,459,3.1037,147.89,America/New_York
Abercrombie,ND,46.4450,-96.7207,29,0.1271,228.17,America/Chicago
Aberdeen,ID,43.0194,-112.8619,3533,272.8197,12.95,America/Boise
Aberdeen,MD,39.5108,-76.2006,24453,34.0106,718.98,America/New_York
Aberdeen,MS,33.8418,-88.5642,11197,238.8499,46.88,America/Chicago
Aberdeen,NC,35.1165,-79.4369,13700,74.9235,182.85,America/New_York
Aberdeen,OH,38.6906,-83.7413,2287,17.2801,132.35,America/New_York
Aberdeen,SD,45.4765,-98.5275,32900,318.3648,103.34,America/Chicago
Aberdeen,WA,47.0435,-123.8064,24116,241.8503,99.71,America/Los_Angeles
Aberdeen Proving Ground,MD,39.4742,-76.1189,2723,10.2772,264.96,America/New_York
Abernathy,TX,33.8608,-101.8830,3541,177.5568,19.94,America/Chicago
Abie,NE,41.3348,-96.9589,98,3.6383,26.94,America/Chicago
Abilene,KS,38.9558,-97.2213,9924,314.0718,31.60,America/Chicago
Abilene,TX,32.4596,-99.7741,130156,538.6878,241.62,America/Chicago
Abingdon,IL,40.7980,-90.3956,3892,40.9457,95.05,America/Chicago
Abingdon,MD,39.4705,-76.2941,29997,11.4299,2624.43,America/New_York
Abingdon,VA,36.7132,-81.9899,26123,207.3983,125.96,America/New_York
Abington,MA,42.1172,-70.9596,16330,9.8516,1657.60,America/New_York
Abington,PA,40.1259,-75.1254,17273,3.5117,4918.70,America/New_York
Abiquiu,NM,36.2933,-106.4142,738,284.9433,2.59,America/Denver
Abita Springs,LA,30.4872,-89.9675,8272,57.4431,144.00,America/Chicago
Abrams,WI,44.7896,-88.0628,2684,51.8149,51.80,America/Chicago
Absaraka,ND,46.9763,-97.4069,37,5.7143,6.47,America/Chicago
Absarokee,MT,45.5264,-109.5245,1384,133.5913,10.36,America/Denver
Absecon,NJ,39.4485,-74.4763,37538,46.5332,806.69,America/New_York
Acampo,CA,38.1972,-121.2383,7538,59.6401,126.39,America/Los_Angeles
Accident,MD,39.6248,-79.3015,2212,65.1952,33.93,America/New_York
Accokeek,MD,38.6723,-77.0202,11234,24.0703,466.72,America/New_York
Accomac,VA,37.6834,-75.6362,1580,23.4631,67.34,America/New_York
Accord,NY,41.8147,-74.2359,3306,34.8758,94.79,America/New_York
Accoville,WV,37.7626,-81.8235,1466,10.6999,137.01,America/New_York
Ace,TX,30.5049,-94.8171,46,1.5858,29.01,America/Chicago
Achille,OK,33.8259,-96.3753,471,10.0472,46.88,America/Chicago
Ackerly,TX,32.4964,-101.7556,384,105.9023,3.63,America/Chicago
Ackerman,MS,33.3474,-89.1853,3498,137.8148,25.38,America/Chicago
Ackley,IA,42.5668,-93.0564,2639,152.0781,17.35,America/Chicago
Ackworth,IA,41.3615,-93.4326,788,27.9127,28.23,America/Chicago
Acme,LA,31.2625,-91.7599,39,50.1933,0.78,America/Chicago
Acme,PA,40.1416,-79.4149,3746,38.6721,96.87,America/New_York
Acme,WA,48.6850,-122.1969,861,27.7028,31.08,America/Los_Angeles
Acosta,PA,40.1063,-79.0605,280,0.6474,432.50,America/New_York
Acra,NY,42.3214,-74.0899,652,5.9654,109.30,America/New_York
Acton,CA,34.4651,-118.2142,7626,68.6344,111.11,America/Los_Angeles
