zip,latitude,longitude,city,state,population,area,density,time_zone
08074,39.7158,-75.1640,Richwood,NJ,15,0.0886,169.39,America/New_York
08240,39.4873,-74.5318,Pomona,NJ,2293,1.5196,1508.93,America/New_York
08876,40.5880,-74.6874,Somerville,NJ,22059,15.1172,1459.20,America/New_York
10001,40.7506,-73.9972,New York,NY,22924,0.6675,34341.44,America/New_York
32026,30.0541,-82.1815,Raiford,FL,1907,0.6333,3011.38,America/New_York
56758,48.4666,-96.5158,Strandquist,MN,374,96.2681,3.88,America/Chicago
96085,41.7523,-123.0527,Scott Bar,CA,85,82.0467,1.04,America/Los_Angeles
96140,39.2246,-120.0981,Carnelian Bay,CA,1019,4.0898,249.16,America/Los_Angeles
96142,38.9995,-120.1258,Tahoma,CA,807,15.7366,51.28,America/Los_Angeles
96141,39.0785,-120.1734,Homewood,CA,297,4.7780,62.16,America/Los_Angeles
98833,48.6882,-120.6113,Mazama,WA,162,208.4951,0.78,America/Los_Angeles
98853,47.4620,-119.2603,Stratford,WA,16,5.6160,2.85,America/Los_Angeles
99929,56.3695,-131.9365,Wrangell,AK,2484,2397.6934,1.04,America/Sitka
00601,18.1800,-66.7522,Adjuntas,PR,17242,59.7592,288.52,America/Puerto_Rico
00602,18.3607,-67.1752,Aguada,PR,38442,28.3525,1355.86,America/Puerto_Rico
00637,18.0798,-66.9427,Sabana Grande,PR,22975,31.3010,734.00,America/Puerto_Rico
00674,18.4212,-66.4900,Manati,PR,39859,40.3081,988.86,America/Puerto_Rico
00773,18.3417,-65.7274,Luquillo,PR,18547,22.4695,825.43,America/Puerto_Rico
00777,18.2236,-65.9088,Juncos,PR,39994,26.1282,1530.68,America/Puerto_Rico
00907,18.4531,-66.0778,San Juan,PR,16202,1.1175,14498.76,America/Puerto_Rico
00949,18.4302,-66.2088,Toa Baja,PR,73891,15.7892,4679.85,America/Puerto_Rico
00979,18.4365,-66.0170,Carolina,PR,15897,1.4587,10898.42,America/Puerto_Rico
00982,18.4099,-65.9917,Carolina,PR,14241,1.2291,11586.32,America/Puerto_Rico
01022,42.1973,-72.5427,Chicopee,MA,2499,4.8657,513.59,America/New_York
01026,42.4633,-72.9202,Cummington,MA,954,24.2330,39.37,America/New_York
01053,42.3535,-72.7116,Leeds,MA,1702,5.1825,328.41,America/New_York
01054,42.4736,-72.4875,Leverett,MA,1983,24.3834,81.33,America/New_York
01080,42.1821,-72.3656,Three Rivers,MA,2802,2.0729,1351.72,America/New_York
01081,42.0623,-72.2309,Wales,MA,1941,16.5802,117.07,America/New_York
01083,42.2038,-72.1950,Warren,MA,2986,16.2839,183.37,America/New_York
01103,42.1040,-72.5920,Springfield,MA,2389,0.4435,5387.18,America/New_York
01104,42.1340,-72.5668,Springfield,MA,23876,5.4467,4383.56,America/New_York
01225,42.5627,-73.1548,Cheshire,MA,3135,25.2699,124.06,America/New_York
01226,42.4817,-73.1399,Dalton,MA,6782,25.7477,263.40,America/New_York
01230,42.1848,-73.3437,Great Barrington,MA,8542,92.6428,92.20,America/New_York
01235,42.4298,-73.0724,Hinsdale,MA,2640,43.5602,60.61,America/New_York
01262,42.2935,-73.3177,Stockbridge,MA,1066,10.3674,102.82,America/New_York
01264,42.2341,-73.1990,Tyringham,MA,196,16.1013,12.17,America/New_York
01266,42.3080,-73.3841,West Stockbridge,MA,1369,24.3582,56.20,America/New_York
01341,42.5045,-72.7051,Conway,MA,1836,35.8022,51.28,America/New_York
01342,42.5445,-72.6059,Deerfield,MA,1439,17.2013,83.66,America/New_York
01373,42.4729,-72.6156,South Deerfield,MA,4634,24.3428,190.36,America/New_York
01375,42.4651,-72.5546,Sunderland,MA,3659,14.1275,259.00,America/New_York
01460,42.5350,-71.4891,Littleton,MA,9935,18.3889,540.27,America/New_York
01515,42.2033,-72.0467,East Brookfield,MA,2159,9.7611,221.19,America/New_York
01537,42.1616,-71.8915,North Oxford,MA,2289,7.1101,321.94,America/New_York
01702,42.2822,-71.4339,Framingham,MA,39149,8.5119,4599.30,America/New_York
01719,42.4884,-71.5178,Boxborough,MA,5794,11.9311,485.62,America/New_York
01876,42.6122,-71.2275,Tewksbury,MA,30807,21.9905,1400.93,America/New_York
01923,42.5740,-70.9493,Danvers,MA,27457,13.7642,1994.81,America/New_York
01929,42.6347,-70.7769,Essex,MA,3713,14.7946,250.97,America/New_York
02019,42.0777,-71.4741,Bellingham,MA,17016,19.1097,890.44,America/New_York
02021,42.1751,-71.1266,Canton,MA,23134,20.1582,1147.62,America/New_York
